,close,Prediction,Ratio
66,60.75,60.650002,-0.16460576131687166
67,60.650002,60.799999,0.2473157379285773
68,60.799999,60.900002,0.16447862112629608
69,60.900002,61.200001,0.49260917922466785
70,61.200001,61.599998,0.6535898586014666
71,61.599998,61.450001,-0.24350163128251667
72,61.450001,61.0,-0.7323043005320717
73,61.0,60.549999,-0.7377065573770492
74,60.549999,60.75,0.3303071896004539
75,60.75,59.549999,-1.9753102880658457
76,59.549999,59.049999,-0.8396305766520618
77,59.049999,58.450001,-1.0160846912122712
78,58.450001,57.349998,-1.88195548533866
79,57.349998,57.450001,0.17437315342190285
80,57.450001,56.549999,-1.566583088484197
81,56.549999,56.5,-0.08841556301353304
82,56.5,57.150002,1.1504460176991138
83,57.150002,56.700001,-0.7874032970287548
84,56.700001,56.700001,0.0
85,56.700001,57.099998,0.7054620686867352
86,57.099998,57.25,0.2627005345954725
87,57.25,55.900002,-2.35807510917031
88,55.900002,55.799999,-0.17889623689101297
89,55.799999,56.549999,1.3440860455929293
90,56.549999,57.549999,1.76834662720331
91,57.549999,57.0,-0.9556889827226578
92,57.0,57.25,0.43859649122806044
93,57.25,57.549999,0.524015720524007
94,57.549999,59.0,2.5195500003396987
95,59.0,59.59,1.0000000000000009
96,59.59,59.549999,-0.0671270347373798
97,59.549999,59.349998,-0.3358539099219793
98,59.349998,58.950001,-0.673962954472207
99,58.950001,59.0,0.08481594427793837
100,59.0,60.25,2.1186440677966045
101,60.25,59.950001,-0.4979236514522811
102,59.950001,60.900002,1.5846555198556267
103,60.900002,60.849998,-0.0821083716877391
104,60.849998,60.799999,-0.08216762800880018
105,60.799999,60.849998,0.08223519872097018
106,60.849998,60.299999,-0.9038603419510349
107,60.299999,61.099998,1.3266981977893666
108,61.099998,61.25,0.24550246302790235
109,61.25,61.849998,0.979588571428569
110,61.849998,62.349998,0.8084074634893357
111,62.349998,62.950001,0.9623143853188187
112,62.950001,63.099998,0.2382795831885609
113,63.099998,63.099998,0.0
